MASS ABSORBTION COEFFICIENTS

Comments:

Each elements data starts with a line including the word "BEGIN" folllowed
by (in order):
	Element's name
	Chemical symbol
	Z - atomic number
	A - Atomic weight
	Density (in gr/cm^3)

Following the opening line the data is written as pairs of numbers.  The first 
entry of the pair is photon energy (in keV) and the second is mass absorbtion 
coefficient (in cm^2/gr).  The elements data ends with the word "END".  Blank 
lines and comments are allowed.

begin	Vacuum		_V	 0	0.	1e-38

	 80.000		    7.48
	100.000		    4.23

end

Begin	Tungsten	 W	74	183.85	19.3

	  1.000		 4600
	  1.500		 1800
	  1.809		 1170

	  1.809		 3530
	  1.871		 3241

	  1.871		 4570
	  2.000		 3843
	  2.281		 2730

	  2.281		 3620
	  2.575		 2640

	  2.575		 2980
	  2.818		 2360

	  2.818		 2550
	  3.000		 2171
	  5.000		  578
	 10.000		   98.0
	 10.204		   93.1

	 10.204		  237
	 11.542		  173

	 11.542		  242
	 12.098		  214.4

	 12.098		  248
	 15.000		  142
	 20.000		   67.0
	 30.000		   23.0
	 50.000		    5.95
	 69.524		    2.51

	 69.524		   11.0
	 80.000		    7.79
	100.000		    4.43

end

Begin	Rhenium 	Re	75	186.2	21.02

	  1.000		 4950
	  1.500		 1910
	  1.883		 1130

	  1.883		 3420
	  1.949		 3130

	  1.949		 4410
	  2.000		 4120
	  2.367		 2650

	  2.367		 3520
	  2.681		 2540

	  2.681		 2870
	  2.931		 2270

	  2.931		 2450
	  3.000		 2305
	  5.000		  609
	 10.000		  102
	 10.534		   89.4

	 10.534		  232
	 11.957		  166

	 11.957		  232
	 12.525		  205

	 12.525		  238
	 15.000		  148
	 20.000		   68.8
	 30.000		   23.6
	 50.000		    6.28
	 71.676		    2.53

	 71.676		   10.5
	 80.000		    8.08
	100.000		    4.68

end

begin	Platinum	Pt	78	195.1	21.45

	  1.000		 5430
	  1.500		 2120
	  2.000		 1081
	  2.122		  938

	  2.122		 3160
	  2.202		 2860

	  2.202		 3990
	  2.645		 2430

	  2.645		 3240
	  3.000		 2313
	  3.026		 2260

	  3.026		 2540
	  3.297		 2020

	  3.297		 2180
	  4.000		 1296
	  5.000		  707
	 10.000		  111
	 11.564		   75.9

	 11.564		  193
	 13.273		  135

	 13.273		  190
	 13.892		  169

	 13.892		  196
	 15.000		  161
	 20.000		   76.2
	 30.000		   26.4
	 50.000		    6.86
	 78.395		    2.12

	 78.395		    9.26
	 80.000		    8.78
	100.000		    4.89

end

begin	Gold		Au	79	196.97	18.88

	  1.000		 5710
	  1.500		 2240
	  2.000		 1150
	  2.206		  916

	  2.206		 2060
	  2.291		 1870

	  2.291		 3310
	  2.743		 2080

	  2.743		 2660
	  3.000		 2118
	  3.149		 1870

	  3.149		 2110
	  3.425		 1700

	  3.425		 1830
	  4.000		 1230
	  5.000		  695
	 10.000		  120
	 11.918		   77.3

	 11.918		  183
	 13.733		  128

	 13.733		  178
	 14.353		  159

	 14.353		  184
	 15.000		  164.5
	 20.000		   78.2
	 30.000		   27.2
	 50.000		    7.14
	 80.723		    2.06

	 80.723		    8.66
	100.000		    5.11

end

begin	Lead		Pb	82	207.2	11.35

	  1.000		 5240
	  1.500		 2510
	  2.000		 1320
	  2.484		  813

	  2.484		 2150
	  2.586		 1940

	  2.586		 2690
	  3.000		 1830
	  3.066		 1730

	  3.066		 2320
	  3.554		 1580

	  3.554		 1780
	  3.850		 1450

	  3.850		 1560
	  4.000		 1414
	  5.000		  791
	 10.000		  133
	 13.035		   67.8

	 13.035		  162
	 15.000		  112.8
	 15.198		  109

	 15.198		  152
	 15.860		  136

	 15.860		  157
	 20.000		   86.0
	 30.000		   29.8
	 50.000		    7.85
	 88.006		    1.84

	 88.006		    7.49
	100.000		    5.46

end
